ID,Organism,type
gi|563911827|ref|WP_023807801.1| ribulose-bisphosphate carboxylase [Mesorhizobium sp. L2C085B000] >gi|563189216|gb|ESZ12301.1| ribulose bisphosphate carboxylase [Mesorhizobium sp. L2C085B000],reference,IV
gi|295413016|gb|ADG07508.1| Ribulose-bisphosphate carboxylase [Kyrpidia tusciae DSM 2912],reference,I
gi|735016550|gb|KHO50554.1| ribulose-bisphosphate carboxylase large chain [archaeon GW2011_AR13],Pacearchaeota,IIIb
gi|502736740|ref|WP_012971724.1| ribulose bisphosphate carboxylase-like protein [Allochromatium vinosum] >gi|75452435|sp|Q93UZ0.1|RBLL_ALLVD RecName: Full=Ribulose bisphosphate carboxylase-like protein; Short=RuBisCO-like protein >gi|13873324|dbj|BAB44150.1| hypothetical protein [Allochromatium vinosum DSM 180] >gi|288897619|gb|ADC63455.1| Ribulose-bisphosphate carboxylase [Allochromatium vinosum DSM 180],reference,IV
"gi|499282207|ref|WP_010975267.1| ribulose-bisphosphate carboxylase [Sinorhizobium meliloti] >gi|16264127|ref|NP_436919.1| ribulose bisphosphate carboxylaseoxygenase, large subunit protein (plasmid) [Sinorhizobium meliloti 1021] >gi|15140252|emb|CAC48779.1| putative ribulose bisphosphate carboxylaseoxygenase, large subunit protein (plasmid) [Sinorhizobium meliloti 1021] >gi|333815897|gb|AEG08564.1| Ribulose-bisphosphate carboxylase (plasmid) [Sinorhizobium meliloti BL225C] >gi|336038122|gb|AEH84052.1| putative ribulose bisphosphate carboxylaseoxygenase, large subunit protein (plasmid) [Sinorhizobium meliloti SM11] >gi|459644334|gb|AGG71379.1| Putative ribulose bisphosphate carboxylaseoxygenase,large subunit (plasmid) [Sinorhizobium meliloti 2011] >gi|675831974|gb|AIM03661.1| ribulose 1,5-bisphosphate carboxylase (plasmid) [Sinorhizobium meliloti] >gi|1091409046|emb|SDW49090.1| ribulose-bisphosphate carboxylase large chain [Sinorhizobium meliloti] >gi|1214616436|gb|ASJ62774.1| ribulose 1,5-bisphosphate carboxylase (plasmid) [Sinorhizobium meliloti] >gi|1226614908|gb|ASP56142.1| ribulose 1,5-bisphosphate carboxylase (plasmid) [Sinorhizobium meliloti] >gi|1226620724|gb|ASP61958.1| ribulose 1,5-bisphosphate carboxylase (plasmid) [Sinorhizobium meliloti] >gi|1226644517|gb|ASP76065.1| ribulose 1,5-bisphosphate carboxylase (plasmid) [Sinorhizobium meliloti] >gi|1226749930|gb|ASP99535.1| ribulose 1,5-bisphosphate carboxylase (plasmid) [Sinorhizobium meliloti] >gi|1226765589|gb|ASQ07236.1| ribulose 1,5-bisphosphate carboxylase (plasmid) [Sinorhizobium meliloti] >gi|1226774182|gb|ASQ14761.1| ribulose 1,5-bisphosphate carboxylase (plasmid) [Sinorhizobium meliloti]",reference,IV
"gi|499775450|ref|WP_011456184.1| ribulose-bisphosphate carboxylase [Jannaschia sp. CCS1] >gi|88865103|gb|ABD55980.1| ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit [Jannaschia sp. CCS1]",reference,IV
"gi|225045473|gb|EEG55719.1| ribulose bisphosphate carboxylase large chain, catalytic domain protein [ [[Clostridium asparagiforme] DSM 15981]",reference,IV
"TARA_037.SAMEA2619974.600.0.1-0.22_1115_42 /annotation=Ribulose bisphosphate carboxylase, type III /ngenes=50",Pacearchaeota,IIIb
"TARA_039.SAMEA2620106.270.0.1-0.22_593_13 /annotation=Ribulose bisphosphate carboxylase, type III /domain=Archaea /phylum=Pacearchaeota",Pacearchaeota,IIIb
TARA_039.SAMEA2620106.270.0.1-0.22_378_10 /annotation=ribulose bisphosphate carboxylase type III/ngenes=86,Nanoarchaeota,IIIb
TARA_039.SAMEA2620106.270.0.1-0.22_2150_20 /annotation=rbcL; ribulose bisophosphate carboxylase (EC:4.1.1.39) /domain=Archaea /phylum=Pacearchaeota,Pacearchaeota,IIIb
"gi|115502588|sp|Q3M674.1|RBL_ANAVT RecName: Full=Ribulose bisphosphate carboxylase large chain; Short=RuBisCO large subunit >gi|75703836|gb|ABA23512.1| ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit [Anabaena variabilis ATCC 29413]",reference,I
gi|502433156|ref|WP_012784207.1| ribulose-bisphosphate carboxylase large subunit [Acidimicrobium ferrooxidans] >gi|256007521|gb|ACU53088.1| Ribulose-bisphosphate carboxylase [Acidimicrobium ferrooxidans DSM 10331],reference,I
gi|500302457|ref|WP_011925328.1| Ribulose bisphosphate carboxylase large chain 2 [Bradyrhizobium sp. ORS 278] >gi|158514297|sp|A4YQD3.1|RBL1B_BRASO RecName: Full=Ribulose bisphosphate carboxylase large chain 2; Short=RuBisCO large subunit 2 >gi|146192104|emb|CAL76109.1| Ribulose bisphosphate carboxylase large chain (RuBisCO large subunit) [Bradyrhizobium sp. ORS 278],reference,I
"gi|166078534|gb|ABY81245.1| ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, partial (chloroplast) [Palisada perforata]",reference,I
"gi|30749269|pdb|1IWA|A Chain A, Rubisco From Galdieria Partita >gi|30749271|pdb|1IWA|C Chain C, Rubisco From Galdieria Partita >gi|30749273|pdb|1IWA|E Chain E, Rubisco From Galdieria Partita >gi|30749275|pdb|1IWA|G Chain G, Rubisco From Galdieria Partita >gi|30749277|pdb|1IWA|I Chain I, Rubisco From Galdieria Partita >gi|30749279|pdb|1IWA|K Chain K, Rubisco From Galdieria Partita >gi|30749281|pdb|1IWA|M Chain M, Rubisco From Galdieria Partita >gi|30749283|pdb|1IWA|O Chain O, Rubisco From Galdieria Partita >gi|4519903|dbj|BAA75796.1| ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (chloroplast) [Galdieria partita]",reference,I
"gi|1015523617|gb|AMV76091.1| ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, partial (chloroplast) [Isoetes eatonii] >gi|1015523619|gb|AMV76092.1| ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, partial (chloroplast) [Isoetes echinospora] >gi|1015523623|gb|AMV76094.1| ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, partial (chloroplast) [Isoetes herzogii] >gi|1015523627|gb|AMV76096.1| ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, partial (chloroplast) [Isoetes lacustris] >gi|1015523641|gb|AMV76103.1| ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, partial (chloroplast) [Isoetes storkii] >gi|1015523645|gb|AMV76105.1| ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, partial (chloroplast) [Isoetes tuerckheimii]",reference,I
"gi|11467508|ref|NP_043654.1| ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit [Odontella sinensis] >gi|1352796|sp|P49520.1|RBL_ODOSI RecName: Full=Ribulose bisphosphate carboxylase large chain; Short=RuBisCO large subunit >gi|1185203|emb|CAA91686.1| Rubisco, large subunit (chloroplast) [Odontella sinensis]",reference,I
"gi|7546555|pdb|1EJ7|L Chain L, Crystal Structure Of Unactivated Tobacco Rubisco With Bound Phosphate Ions",reference,I
"gi|414071|emb|CAA53209.1| ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (chloroplast) [Picea abies]",reference,I
gi|494362704|ref|WP_007195596.1| ribulose-bisphosphate carboxylase large subunit [Thiocapsa marina] >gi|343798036|gb|EGV16001.1| Ribulose bisphosphate carboxylase large chain [Thiocapsa marina 5811],reference,I
gi|501062648|ref|WP_012113941.1| ribulose bisphosphate carboxylase large chain [Xanthobacter autotrophicus] >gi|226736665|sp|A7IGM0.1|RBL_XANP2 RecName: Full=Ribulose bisphosphate carboxylase large chain; Short=RuBisCO large subunit >gi|154159947|gb|ABS67163.1| Ribulose-bisphosphate carboxylase [Xanthobacter autotrophicus Py2],reference,I
"gi|736672|gb|AAA98748.1| ribulose 1,5-bisphosphate carboxylase, partial [Lingulodinium polyedrum]",reference,II
RBC2_36 gi|497537089|ref|WP_009851287.1|,reference,II
gi|502793187|ref|WP_013028163.1| ribulose-bisphosphate carboxylase [Sideroxydans lithotrophicus] >gi|291582606|gb|ADE10264.1| Ribulose-bisphosphate carboxylase [Sideroxydans lithotrophicus ES-1],reference,II
RBC2_41 gi|499704342|ref|WP_011385076.1|,reference,II
RBCSeed_15 gi|503485760|ref|WP_013720421.1|,reference,II/III
"gi|37087672|sp|O58677.1|RBL_PYRHO RecName: Full=Ribulose bisphosphate carboxylase; Short=RuBisCO >gi|85544442|pdb|2CWX|A Chain A, Crystal Structure Of Octameric Ribulose-1,5-bisphosphate Carboxylase/oxygenase (rubisco) From Pyrococcus Horikoshii Ot3 (form- 1 Crystal) >gi|85544443|pdb|2CWX|E Chain E, Crystal Structure Of Octameric Ribulose-1,5-bisphosphate Carboxylase/oxygenase (rubisco) From Pyrococcus Horikoshii Ot3 (form- 1 Crystal) >gi|85544481|pdb|2CXE|A Chain A, Crystal Structure Of Octameric Ribulose-1,5-bisphosphate Carboxylase/oxygenase (rubisco) From Pyrococcus Horikoshii Ot3 (form- 2 Crystal) >gi|85544482|pdb|2CXE|B Chain B, Crystal Structure Of Octameric Ribulose-1,5-bisphosphate Carboxylase/oxygenase (rubisco) From Pyrococcus Horikoshii Ot3 (form- 2 Crystal) >gi|85544483|pdb|2CXE|C Chain C, Crystal Structure Of Octameric Ribulose-1,5-bisphosphate Carboxylase/oxygenase (rubisco) From Pyrococcus Horikoshii Ot3 (form- 2 Crystal) >gi|85544484|pdb|2CXE|D Chain D, Crystal Structure Of Octameric Ribulose-1,5-bisphosphate Carboxylase/oxygenase (rubisco) From Pyrococcus Horikoshii Ot3 (form- 2 Crystal) >gi|109157440|pdb|2D69|A Chain A, Crystal Structure Of The Complex Of Sulfate Ion And Octameric Ribulose-1,5-Bisphosphate CarboxylaseOXYGENASE (RUBISCO) FROM Pyrococcus Horikoshii Ot3 (Form-2 Crystal) >gi|109157441|pdb|2D69|B Chain B, Crystal Structure Of The Complex Of Sulfate Ion And Octameric Ribulose-1,5-Bisphosphate CarboxylaseOXYGENASE (RUBISCO) FROM Pyrococcus Horikoshii Ot3 (Form-2 Crystal) >gi|109157442|pdb|2D69|D Chain D, Crystal Structure Of The Complex Of Sulfate Ion And Octameric Ribulose-1,5-Bisphosphate CarboxylaseOXYGENASE (RUBISCO) FROM Pyrococcus Horikoshii Ot3 (Form-2 Crystal) >gi|109157443|pdb|2D69|E Chain E, Crystal Structure Of The Complex Of Sulfate Ion And Octameric Ribulose-1,5-Bisphosphate CarboxylaseOXYGENASE (RUBISCO) FROM Pyrococcus Horikoshii Ot3 (Form-2 Crystal) >gi|3257353|dbj|BAA30036.1| 430aa long hypothetical ribulose 1,5-bisphosphate carboxylase large subunit [Pyrococcus horikoshii OT3]",reference,IIIb
gi|492957519|ref|WP_006065604.1| type III ribulose-bisphosphate carboxylase [Natronorubrum bangense] >gi|445595674|gb|ELY49778.1| ribulose bisophosphate carboxylase [Natronorubrum bangense JCM 10635],reference,IIIb
gi|493702239|ref|WP_006651990.1| type III ribulose-bisphosphate carboxylase [Natrialba hulunbeirensis] >gi|445641153|gb|ELY94236.1| ribulose bisophosphate carboxylase [Natrialba hulunbeirensis JCM 10989],reference,IIIb
gi|493717023|ref|WP_006666558.1| type III ribulose-bisphosphate carboxylase [Natrialba aegyptia] >gi|445650906|gb|ELZ03822.1| ribulose bisophosphate carboxylase [Natrialba aegyptia DSM 13077],reference,IIIb
RBC_29 gi|516847257|ref|WP_018128943.1|,reference,IIIb
gi|495367766|ref|WP_008092479.1| MULTISPECIES: type III ribulose-bisphosphate carboxylase [Haloferax] >gi|445721631|gb|ELZ73299.1| ribulose bisophosphate carboxylase [Haloferax prahovense DSM 18310],reference,IIIb
gi|495596802|ref|WP_008321381.1| type III ribulose-bisphosphate carboxylase [Haloferax mucosum] >gi|445740100|gb|ELZ91606.1| ribulose bisophosphate carboxylase [Haloferax mucosum ATCC BAA-1512],reference,IIIb
gi|495598967|ref|WP_008323546.1| type III ribulose-bisphosphate carboxylase [Haloferax elongans] >gi|445733997|gb|ELZ85556.1| ribulose bisophosphate carboxylase [Haloferax elongans ATCC BAA-1513],reference,IIIb
"gi|496768197|ref|WP_009365917.1| type III ribulose-bisphosphate carboxylase [Halogranum salarium] >gi|399239276|gb|EJN60202.1| ribulose 1,5-bisphosphate carboxylase large subunit [Halogranum salarium B-1]",reference,IIIb
"gi|502908723|ref|WP_013143699.1| type III ribulose-bisphosphate carboxylase [Staphylothermus hellenicus] >gi|297256292|gb|ADI32501.1| ribulose bisphosphate carboxylase, type III [Staphylothermus hellenicus DSM 12710]",reference,IIIb
"gi|500076877|ref|WP_011752890.1| type III ribulose-bisphosphate carboxylase [Thermofilum pendens] >gi|119525253|gb|ABL78625.1| ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit [Thermofilum pendens Hrk 5]",reference,IIIb
"gi|499790001|ref|WP_011470735.1| ribulose-bisphosphate carboxylase [Rhodopseudomonas palustris] >gi|90103790|gb|ABD85827.1| ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit [Rhodopseudomonas palustris BisB18]",reference,IV
ABA56859_Nitrosococcus_oceani_ATCC_19707_I_REF,reference,I
Alkalilimnicola_ehrlichii_YP_74366_REF,reference,I
Burkholderia_xenovorans_YP_55288_REF,reference,I
Q59613_Nitrobacter_vulgaris_I_REF,reference,I
Rhodobacter_sphaeroides_YP_35436_REF,reference,I
Stappia_aggregata_ZP_0154896_REF,reference,I
Synechococcus_sp_WH8102_NP_89780_REF,reference,I
Thiorhodovibrio_sp_970_ZP_0894247_REF,reference,I
YP_411385_Nitrosospira_multiformis_ATCC_251966_I_REF,reference,I
RBC_48 gi|1710033|sp|P50922.1|RBL2_RHOCA,reference,II
Thiobacillus_denitrificans_AAA9917_REF,reference,II
bjp_ig2158_scaffold_0_9,Dojkabacteria,II/III
rifoxyb2_full_scaffold_114_158,Pacearchaeota,II/III
rifoxyb2_full_scaffold_53823_1,Peregrinibacteria,II/III
CG02_land_8_20_14_3.00_150_scaffold_3515_6,SR1,II/III
OR1_SR1_3_148,SR1,II/III
cg2_3.0_scaffold_6121_5,SR1,II/III
rifcsplowo2_02_scaffold_6002_1,Woesearchaeota,II/III
RBC2_50 gi|499819577|ref|WP_011500311.1|,reference,II/III
rifcsphigho2_02_scaffold_22708_9,Aenigmarchaeota,IIIb
CG10_big_fil_rev_8_21_14_0.10_scaffold_7288_19,Amesbacteria,IIIb
MW5_scaffold_28295_1,Amesbacteria,IIIb
rifcsphigho2_01_scaffold_12654_5,Amesbacteria,IIIb
rifcsplowo2_01_scaffold_130404_3,Amesbacteria,IIIb
CG13_big_fil_rev_8_21_14_2.50_scaffold_6700_4,CPR,IIIb
ncbi_ASMR01000001.1_43,Diapherotrites,IIIb
CG10_big_fil_rev_8_21_14_0.10_scaffold_31956_2,Micrarchaeota,IIIb
CG10_big_fil_rev_8_21_14_0.10_scaffold_63175_3,Micrarchaeota,IIIb
CG11_big_fil_rev_8_21_14_0.20_scaffold_98546_1,Micrarchaeota,IIIb
CG23_combo_of_CG0609_8_20_14_all_150_scaffold_130068_2,Micrarchaeota,IIIb
CG_201518_scaffold_160514_1,Micrarchaeota,IIIb
CG_4_10_14_0.2_scaffold_37340_1,Micrarchaeota,IIIb
CG_4_9_14_3_um_filter_150_scaffold_9172_2,Micrarchaeota,IIIb
RBG_16_scaffold_12677_9,Micrarchaeota,IIIb
RifSed_csp2_16ft_2_scaffold_576471_1,Micrarchaeota,IIIb
RifSed_csp2_19ft_2_scaffold_254614_2,Micrarchaeota,IIIb
cg1_0.2_scaffold_44525_1,Micrarchaeota,IIIb
gwa2_scaffold_48274_5,Micrarchaeota,IIIb
mol321605070610_1,Micrarchaeota,IIIb
rifcsphigho2_01_scaffold_346573_2,Micrarchaeota,IIIb
rifcsplowo2_01_scaffold_119419_3,Micrarchaeota,IIIb
rifcsplowo2_01_scaffold_17881_1,Micrarchaeota,IIIb
rifcsplowo2_01_scaffold_465272_1,Micrarchaeota,IIIb
rifcsplowo2_01_scaffold_49323_11,Micrarchaeota,IIIb
rifcsplowo2_01_scaffold_51891_2,Micrarchaeota,IIIb
rifcsplowo2_01_scaffold_58670_5,Micrarchaeota,IIIb
rifcsplowo2_01_scaffold_68750_1,Micrarchaeota,IIIb
16ft_4_scaffold_166118_1,Pacearchaeota,IIIb
CG06_land_8_20_14_3.00_150_scaffold_1834_c_8,Pacearchaeota,IIIb
CG10_big_fil_rev_8_21_14_0.10_scaffold_5506_5,Pacearchaeota,IIIb
CG10_big_fil_rev_8_21_14_0.10_scaffold_8652_c_5,Pacearchaeota,IIIb
CG_201517_scaffold_79772_2,Pacearchaeota,IIIb
CG_201519_scaffold_109081_1,Pacearchaeota,IIIb
CG_4_9_14_0.2_um_filter_scaffold_45485_3,Pacearchaeota,IIIb
GWB1_scaffold_6749_11,Pacearchaeota,IIIb
RBG_13_scaffold_1343_4,Pacearchaeota,IIIb
RBG_13_scaffold_1813_22,Pacearchaeota,IIIb
RifSed_csp1_13ft_1_scaffold_35671_4,Pacearchaeota,IIIb
RifSed_csp1_19ft_1_scaffold_43_1,Pacearchaeota,IIIb
RifSed_csp1_19ft_2_scaffold_187283_2,Pacearchaeota,IIIb
RifSed_csp1_19ft_3_scaffold_56327_3,Pacearchaeota,IIIb
RifSed_csp1_19ft_4_scaffold_32161_5,Pacearchaeota,IIIb
RifSed_csp2_10ft_3_scaffold_402847_1,Pacearchaeota,IIIb
RifSed_csp2_16ft_2_scaffold_361294_1,Pacearchaeota,IIIb
RifSed_csp2_16ft_2_scaffold_571319_1,Pacearchaeota,IIIb
UBA284contig_56696_5,Pacearchaeota,IIIb
gwa1_scaffold_1760_30,Pacearchaeota,IIIb
gwa1_scaffold_6140_7,Pacearchaeota,IIIb
gwa1_scaffold_8053_8,Pacearchaeota,IIIb
gwa2_scaffold_43928_8,Pacearchaeota,IIIb
mol321605029005_8,Pacearchaeota,IIIb
rifcsphigho2_01_scaffold_111818_5,Pacearchaeota,IIIb
rifcsphigho2_01_scaffold_125633_2,Pacearchaeota,IIIb
rifcsphigho2_01_scaffold_53648_5,Pacearchaeota,IIIb
rifcsphigho2_01_sub10_scaffold_18411_1,Pacearchaeota,IIIb
rifcsphigho2_02_scaffold_489089_1,Pacearchaeota,IIIb
rifcsphigho2_02_scaffold_53546_4,Pacearchaeota,IIIb
rifcsphigho2_02_scaffold_58627_1,Pacearchaeota,IIIb
rifcsphigho2_12_scaffold_1445_63,Pacearchaeota,IIIb
rifcsphigho2_12_scaffold_224551_2,Pacearchaeota,IIIb
rifcsplowo2_01_scaffold_200222_1,Pacearchaeota,IIIb
rifcsplowo2_01_scaffold_294211_1,Pacearchaeota,IIIb
rifcsplowo2_01_scaffold_304868_2,Pacearchaeota,IIIb
rifcsplowo2_01_scaffold_38123_6,Pacearchaeota,IIIb
rifcsplowo2_01_scaffold_391963_1,Pacearchaeota,IIIb
rifcsplowo2_01_scaffold_51844_6,Pacearchaeota,IIIb
rifcsplowo2_01_scaffold_5197_14,Pacearchaeota,IIIb
rifcsplowo2_01_scaffold_53007_11,Pacearchaeota,IIIb
rifcsplowo2_01_scaffold_57929_6,Pacearchaeota,IIIb
rifcsplowo2_01_scaffold_95698_5,Pacearchaeota,IIIb
rifcsplowo2_02_scaffold_295114_1,Pacearchaeota,IIIb
rifoxya1_sub10_scaffold_6_49,Pacearchaeota,IIIb
rifoxyb2_full_scaffold_57680_2,Pacearchaeota,IIIb
rifoxyc1_full_scaffold_21863_2,Pacearchaeota,IIIb
rifoxyd1_full_scaffold_47708_2,Pacearchaeota,IIIb
rifoxyd1_full_scaffold_56120_1,Pacearchaeota,IIIb
CG10_big_fil_rev_8_21_14_0.10_scaffold_756_c_32,Woesearchaeota,IIIb
UBA119contig_8444_4,Woesearchaeota,IIIb
cg1_0.2_scaffold_10457_2,Woesearchaeota,IIIb
rifoxyc1_full_scaffold_6493_4,Woesearchaeota,IIIb
Ferroglobus_placidus_YP_00343593_REF,reference,IIIb
Ignisphaera_aggregans_YP_00386030_REF,reference,IIIb
WP004977657_Haloferax_gibbonsii_ATCC_3395_REF,reference,IIIb
WP006167759_Natrialba_chahannaoensis_JCM_1099_REF,reference,IIIb
YP001047237_Methanoculleus_marisnigri_JR_REF,reference,IIIb
YP004622994_Pyrococcus_yayanosii_CH_REF,reference,IIIb
YP007907939_Archaeoglobus_sulfaticallidus_PM70_REF,reference,IIIb
ZP_09027197_Desulfurococcus_fermentans_DSM_16532_II_REF,reference,IIIb
rifcsphigho2_01_scaffold_5232_2,unknown,IIIb
rifoxyb2_full_scaffold_25016_1,unknown,IIIb
rifoxyd2_full_scaffold_3430_5,Falkowbacteria,IIIc
UBA927contig_123_73,Gottesmanbacteria,IIIc
rifoxyb1_full_scaffold_633_14,Gottesmanbacteria,IIIc
CG08_land_8_20_14_0.20_scaffold_141789_1,Kuenenbacteria,IIIc
rifcsphigho2_01_scaffold_155436_2,Kuenenbacteria,IIIc
rifcsphigho2_01_scaffold_71747_2,Kuenenbacteria,IIIc
CG_4_10_14_0.8_um_filter_scaffold_1033_22,Parcubacteria,IIIc
img_2264877716_46,unknown,IIIc
UBA2177contig_38184_3,Dojkabacteria,IIIlike
UBA2222contig_92676_9,Dojkabacteria,IIIlike
UBA2278contig_10362_8,Dojkabacteria,IIIlike
UBA3081contig_986_14,Dojkabacteria,IIIlike
bjp_ig2158_scaffold_0_692,Dojkabacteria,IIIlike
gwd1_scaffold_806_10,Dojkabacteria,IIIlike
rifoxya1_full_scaffold_23855_2,Dojkabacteria,IIIlike
rifoxyc3_full_scaffold_48488_1,Dojkabacteria,IIIlike
rifoxyd1_full_scaffold_4223_4,Dojkabacteria,IIIlike
RBG_13_scaffold_565_33,Gottesmanbacteria,IIIlike
mol321605013658_7,Gottesmanbacteria,IIIlike
rifcsp10_1_full_scaffold_5396_9,Gottesmanbacteria,IIIlike
rifcsp2_19_4_full_scaffold_90165_2,Gottesmanbacteria,IIIlike
rifcsphigho2_01_scaffold_387592_2,Gottesmanbacteria,IIIlike
rifcsphigho2_02_scaffold_83541_5,Gottesmanbacteria,IIIlike
rifcsplowo2_01_scaffold_1259_4,Gottesmanbacteria,IIIlike
rifcsplowo2_01_scaffold_312661_3,Gottesmanbacteria,IIIlike
CG10_big_fil_rev_8_21_14_0.10_scaffold_617_c_46,Pacearchaeota,IIIlike
rifcsphigho2_01_scaffold_125366_1,Pacearchaeota,IIIlike
rifcsphigho2_01_scaffold_156249_3,Pacearchaeota,IIIlike
rifcsplowo2_01_scaffold_352176_1,Pacearchaeota,IIIlike
rifcsplowo2_12_scaffold_228026_1,Pacearchaeota,IIIlike
rifoxya1_full_scaffold_21555_2,Pacearchaeota,IIIlike
rifoxyb1_full_scaffold_56378_1,Pacearchaeota,IIIlike
rifoxyd1_full_scaffold_17021_2,Pacearchaeota,IIIlike
rifcsplowo2_01_scaffold_68480_2,Parcubacteria,IV
AAU23062_Bacillus_licheniformis_ATCC_14580_IV_Ykr_REF,reference,IV
ABC22798_Rhodospirillum_rubrum_IV_DeepYk_REF,reference,IV
ABH04879_Heliobacillus_mobilis_IV_DeepYk_REF,reference,IV
CG09_land_8_20_14_0.10_scaffold_14070_3,Beckwithbacteria,IVlike
imgVR_3300000117_DelMOWin2010_c10004565_18_PHAGE,putative_phage,IVlike
imgVR_3300005662_Ga0078894_10000568_30_PHAGE,putative_phage,IVlike
imgVR_3300005662_Ga0078894_10001118_13_PHAGE,putative_phage,IVlike
imgVR_3300006026_Ga0075478_10000002_49_PHAGE,putative_phage,IVlike
imgVR_3300006129_Ga0007834_1000020_33_PHAGE,putative_phage,IVlike
imgVR_3300006810_Ga0070754_10000068_66_PHAGE,putative_phage,IVlike
imgVR_3300006810_Ga0070754_10002591_16_PHAGE,putative_phage,IVlike
imgVR_3300007516_Ga0105050_10000484_9_PHAGE,putative_phage,IVlike
imgVR_3300009181_Ga0114969_10002748_1_PHAGE,putative_phage,IVlike
imgVR_3300009182_Ga0114959_10000174_59_PHAGE,putative_phage,IVlike
imgVR_3300009182_Ga0114959_10006311_8_PHAGE,putative_phage,IVlike
imgVR_3300010334_Ga0136644_10000002_223_PHAGE,putative_phage,IVlike
imgVR_3300012953_Ga0163179_10002555_5_PHAGE,putative_phage,IVlike
imgVR_3300012953_Ga0163179_10002609_6_PHAGE,putative_phage,IVlike
imgVR_3300013093_Ga0164296_1006299_14_PHAGE,putative_phage,IVlike
imgVR_3300017986_Ga0181569_10001190_17_PHAGE,putative_phage,IVlike
rifcsplowo2_01_scaffold_4908_46,Aenigmarchaeota,unknown
CG08_land_8_20_14_0.20_scaffold_15999_2,Gottesmanbacteria,unknown
RBG_16_scaffold_32845_14,Micrarchaeota,unknown
RifSed_csp2_16ft_2_scaffold_590394_1,Micrarchaeota,unknown
2_Hydrogenovibrio_marinus_BAD1531_REF,reference,I
AAB41464_Aurantimonas_manganoxydans_SI85_I_REF,reference,I
Halorhodospira_halophila_YP_00100262_REF,reference,I
Nitrosomonas_eutropha_YP_74703_REF,reference,I
Thioalkalimicrobium_cyclicum_YP_00453780_REF,reference,I
AAN52766_Rhodopseudomonas_palustris_I_REF,reference,II
RBC_123 gi|501530536|ref|WP_012537012.1|,reference,II
UBA5232contig_5010_25,Dojkabacteria,II/III
bjp_ig2599_sub10_scaffold_1302_18,Micrarchaeota,II/III
CG10_big_fil_rev_8_21_14_0.10_scaffold_3250_c_3,Pacearchaeota,II/III
rifoxyc1_full_scaffold_336_27,Pacearchaeota,II/III
CG08_land_8_20_14_0.20_scaffold_13131_3,Peregrinibacteria,II/III
Crystal_Geyser_CG15_big_fil_post_rev_8_21_14_0.20_scaffold_4700_5,Peregrinibacteria,II/III
gwa2_scaffold_61538_7,Peregrinibacteria,II/III
rifixya3_full_scaffold_35984_2,Peregrinibacteria,II/III
RAAC1_SR1_1_647,SR1,II/III
rifoxyb1_full_scaffold_3633_1,Woesearchaeota,II/III
CG06_land_8_20_14_3.00_150_scaffold_21999_1,unknown,II/III
DolZOral124_scaffold_14485_4,unknown,II/III
rifcsphigho2_01_scaffold_412949_4,Aenigmarchaeota,IIIb
rifcsphigho2_02_scaffold_58713_2,Aenigmarchaeota,IIIb
rifcsplowo2_02_scaffold_215139_2,Aenigmarchaeota,IIIb
rifcsplowo2_12_scaffold_170419_2,Amesbacteria,IIIb
RifSed_csp2_13ft_1_scaffold_420248_2,Levybacteria,IIIb
RifSed_csp2_13ft_2_scaffold_441897_1,Levybacteria,IIIb
CG03_land_8_20_14_0.80_scaffold_21801_2,Micrarchaeota,IIIb
CG03_land_8_20_14_0.80_scaffold_60991_1,Micrarchaeota,IIIb
CG07_land_8_20_14_0.80_scaffold_42665_1,Micrarchaeota,IIIb
CG10_big_fil_rev_8_21_14_0.10_scaffold_1834_23,Micrarchaeota,IIIb
CG_201513_scaffold_41721_2,Micrarchaeota,IIIb
CG_201513_scaffold_88435_1,Micrarchaeota,IIIb
CG_201519_scaffold_56610_2,Micrarchaeota,IIIb
CG_4_10_14_0.8_um_filter_scaffold_69571_1,Micrarchaeota,IIIb
RifSed_csp2_13ft_1_scaffold_60832_1,Micrarchaeota,IIIb
RifSed_csp2_16ft_2_scaffold_362462_2,Micrarchaeota,IIIb
RifSed_csp2_19ft_2_scaffold_258162_1,Micrarchaeota,IIIb
gwa2_scaffold_25721_1,Micrarchaeota,IIIb
rifoxyd1_full_scaffold_54939_2,Micrarchaeota,IIIb
07M_4_2014_scaffold_64364_1,Pacearchaeota,IIIb
16ft_4_scaffold_39691_1,Pacearchaeota,IIIb
CG02_land_8_20_14_3.00_150_scaffold_129462_2,Pacearchaeota,IIIb
CG09_land_8_20_14_0.10_scaffold_57150_2,Pacearchaeota,IIIb
CG10_big_fil_rev_8_21_14_0.10_scaffold_127377_1,Pacearchaeota,IIIb
