ID,Organism,type
"gi|499235892|ref|WP_010933432.1| ribulose bisphosphate carboxylase-like protein [Chlorobaculum tepidum] >gi|21674586|ref|NP_662651.1| ribulose bisphosphate carboxylase, large subunit [Chlorobaculum tepidum TLS] >gi|73621445|sp|Q8KBL4.1|RBLL_CHLTE RecName: Full=Ribulose bisphosphate carboxylase-like protein; Short=RuBisCO-like protein >gi|55669908|pdb|1TEL|A Chain A, Crystal Structure Of A Rubisco-Like Protein From Chlorobium Tepidum >gi|55669909|pdb|1TEL|B Chain B, Crystal Structure Of A Rubisco-Like Protein From Chlorobium Tepidum >gi|21647784|gb|AAM72993.1| ribulose bisphosphate carboxylase, large subunit [Chlorobaculum tepidum TLS]",reference,IV
gi|1278500188|gb|PJA22022.1| type III ribulose-bisphosphate carboxylase [archaeon CG_4_10_14_0_2_um_filter_Archaea_38_6],Pacearchaeota,IIIb
"gi|1572539997|emb|VDD89027.1| RuBisCO long chain, Form III-b [uncultured archaeon]",Micrarchaeota,IIIb
"gi|1572540075|emb|VDD89086.1| RuBisCO long chain, Form III-like [uncultured archaeon]",Pacearchaeota,IIIlike
"gi|1572540227|emb|VDD89187.1| RuBisCO long chain, Form III-b [uncultured archaeon]",Pacearchaeota,IIIb
"gi|1572540163|emb|VDD89148.1| RuBisCO long chain, Form III-b [uncultured archaeon]",Pacearchaeota,IIIb
"gi|1572541025|emb|VDS11139.1| RuBisCO long chain, Form III-b [uncultured DPANN archaeon] >gi|1572541059|emb|VDS11156.1| RuBisCO long chain, Form III-b [uncultured DPANN archaeon] >gi|1572541085|emb|VDS11169.1| RuBisCO long chain, Form III-b [uncultured DPANN archaeon]",Diapherotrites,IIIb
"gi|499228489|ref|WP_010926029.1| ribulose-bisphosphate carboxylase [Bordetella bronchiseptica] >gi|81175002|sp|Q7WNK2.1|RBLL_BORBR RecName: Full=Uncharacterized ribulose bisphosphate carboxylase-like protein; Short=RuBisCO-like protein >gi|33567621|emb|CAE31534.1| putative ribulose bisphosphate carboxylaseoxygenase,large subunit [Bordetella bronchiseptica RB50] >gi|620707103|gb|KAK66377.1| ribulose bisphosphate carboxylase large chain, catalytic domain protein [Bordetella bronchiseptica 980-2] >gi|627896366|gb|KCV51472.1| ribulose bisphosphate carboxylase large chain, catalytic domain protein [Bordetella bronchiseptica 3E44] >gi|627902442|gb|KCV57153.1| ribulose bisphosphate carboxylase large chain, catalytic domain protein [Bordetella bronchiseptica 980] >gi|633398875|gb|KDB84842.1| ribulose bisphosphate carboxylase large chain, catalytic domain protein [Bordetella bronchiseptica D756] >gi|633406845|gb|KDB92504.1| ribulose bisphosphate carboxylase large chain, catalytic domain protein [Bordetella bronchiseptica D989] >gi|633580524|gb|KDD52023.1| ribulose bisphosphate carboxylase large chain, catalytic domain protein [Bordetella bronchiseptica RB630] >gi|991924307|gb|AMG87513.1| ribulose 1,5-bisphosphate carboxylase [Bordetella bronchiseptica]",reference,IV
"gi|1572541115|emb|VDS11184.1| RuBisCO long chain, Form III-b [uncultured Candidatus Pacearchaeota archaeon]",Pacearchaeota,IIIb
"gi|1572539941|emb|VDD88975.1| RuBisCO long chain, Form III-b [uncultured archaeon]",Pacearchaeota,IIIb
"gi|1572540283|emb|VDD89235.1| RuBisCO long chain, Form III-like [uncultured archaeon]",Pacearchaeota,IIIlike
"gi|1572539995|emb|VDD89025.1| RuBisCO long chain, Form III-b [uncultured archaeon]",Pacearchaeota,IIIb
"gi|1572539362|emb|VDD88694.1| RuBisCO long chain, Form III-b [uncultured archaeon]",Pacearchaeota,IIIb
"gi|1572539510|emb|VDD88811.1| RuBisCO long chain, Form III-b [uncultured archaeon]",Pacearchaeota,IIIb
"gi|1572539500|emb|VDD88795.1| RuBisCO long chain, Form III-like [uncultured bacterium]",Dojkabacteria,IIIlike
"gi|1572540191|emb|VDD89164.1| RuBisCO long chain, Form III-like [uncultured bacterium]",Gottesmanbacteria,IIIlike
"gi|1572540171|emb|VDD89152.1| RuBisCO long chain, Form III-like [uncultured archaeon]",Pacearchaeota,IIIlike
"gi|1572539334|emb|VDD88658.1| RuBisCO long chain, Form III-b [uncultured archaeon]",Pacearchaeota,IIIb
"gi|1572539678|emb|VDD88941.1| RuBisCO long chain, Form III-like [uncultured bacterium]",Dojkabacteria,IIIlike
"TARA_037.SAMEA2619974.600.0.1-0.22_6329_9 /annotation=Ribulose bisphosphate carboxylase, type III /ngenes=18",Pacearchaeota,IIIb
gi|497544748|ref|WP_009858946.1| form I ribulose bisphosphate carboxylase large subunit [Rubrivivax benzoatilyticus] >gi|332112588|gb|EGJ12381.1| ribulose bisophosphate carboxylase [Rubrivivax benzoatilyticus JA2 = ATCC BAA-35],reference,I
RBC_26 gi|499782958|ref|WP_011463692.1|,reference,II
"gi|503448813|ref|WP_013683474.1| type III ribulose-bisphosphate carboxylase [Archaeoglobus veneficus] >gi|327316186|gb|AEA46802.1| ribulose bisphosphate carboxylase, type III [Archaeoglobus veneficus SNP6]",reference,IIIb
RBCSeed_7 gi|1101080583|gb|OIO40810.1|,Pacearchaeota,II/III
RBCSeed_7 gi|1101080583|gb|OIO40810.1|,reference,II/III
"RBG_16_Archaea_36_9_RBG_16_scaffold_36_87 ribulose bisphosphate carboxylase, type III (EC:4.1.1.39); K01601 ribulose-bisphosphate carboxylase large chain [EC:4.1.1.39] Tax=RBG_16_Micrarchaeota_36_9_curated id=86921465 bin=""Candidatus Micrarchaeota archaeon RBG_16_36_9"" species=RBG_16_Micrarchaeota_36_9_curated genus=unknown taxon_order=unknown taxon_class=unknown phylum=Micrarchaeota organism_tax=RBG_16_Micrarchaeota_36_9_curated",Micrarchaeota,IIIb
"cg1_0.2_scaffold_3272_c_4 ribulose bisphosphate carboxylase, type III (EC:4.1.1.39); K01601 ribulose-bisphosphate carboxylase large chain [EC:4.1.1.39] Tax=CG_Gottesman_01 id=91888953 bin=""CG1_02_FULL_Gottesmanbakteria_OP11_37_22_curated"" species=CG_Gottesman_01 genus=unknown taxon_order=unknown taxon_class=Gottesmanbakteria phylum=Microgenomates organism_tax=CG_Gottesman_01, Gottesmanbakteria, Microgenomates, Bacteria",Gottesmanbacteria,IIIc
"cg1_0.2_scaffold_3272_c_4 ribulose bisphosphate carboxylase, type III (EC:4.1.1.39); K01601 ribulose-bisphosphate carboxylase large chain [EC:4.1.1.39] Tax=CG_Gottesman_01 id=91888953 bin=""CG1_02_FULL_Gottesmanbakteria_OP11_37_22_curated"" species=CG_Gottesman_01 genus=unknown taxon_order=unknown taxon_class=Gottesmanbakteria phylum=Microgenomates organism_tax=CG_Gottesman_01, Gottesmanbakteria, Microgenomates, Bacteria",reference,IIIc
"RIFCSPHIGHO2_01_FULL_OD1_39_14_rifcsphigho2_01_scaffold_71123_4 ribulose bisphosphate carboxylase, type III (EC:4.1.1.39); K01601 ribulose-bisphosphate carboxylase large chain [EC:4.1.1.39] Tax=RBG_16_Archaea_50_20_curated id=87383137 bin=""Candidatus Buchananbacteria bacterium RIFCSPHIGHO2_01_FULL_39_14"" species=RBG_16_Archaea_50_20_curated genus=unknown taxon_order=unknown taxon_class=unknown phylum=unknown organism_tax=RIFCSPHIGHO2_02_FULL_OD1_Falkowbacteria_39_17_curated, Falkowbacteria, Parcubacteria, Bacteria",Buchananbacteria,IIIb
"RBG_16_OP11_38_7b_RBG_16_scaffold_13163_2 ribulose bisphosphate carboxylase, type III; K01601 ribulose-bisphosphate carboxylase large chain [EC:4.1.1.39] Tax=RIFCSPHIGHO2_02_FULL_OP11_Gottesmanbacteria_39_14_curated id=87150874 bin=""Candidatus Gottesmanbacteria bacterium RBG_16_38_7b"" species=RIFCSPHIGHO2_02_FULL_OP11_Gottesmanbacteria_39_14_curated genus=unknown taxon_order=unknown taxon_class=Gottesmanbacteria phylum=Microgenomates organism_tax=RIFCSPHIGHO2_02_FULL_OP11_Gottesmanbacteria_39_14_curated, Gottesmanbacteria, Microgenomates, Bacteria",Gottesmanbacteria,IIIlike
"RBG_16_OP11_37_8_RBG_16_scaffold_34109_9 ribulose bisphosphate carboxylase, type III; K01601 ribulose-bisphosphate carboxylase large chain [EC:4.1.1.39] Tax=RBG_16_OP11_Gottesmanbacteria_37_8_curated id=87148575 bin=""Candidatus Gottesmanbacteria bacterium RBG_16_37_8"" species=RBG_16_OP11_Gottesmanbacteria_37_8_curated genus=unknown taxon_order=unknown taxon_class=Gottesmanbacteria phylum=Microgenomates organism_tax=RBG_16_OP11_Gottesmanbacteria_37_8_curated",Gottesmanbacteria,IIIlike
"gwa2_scaffold_24083_5 Ribulose 1,5-bisphosphate carboxylase, large subunit Tax=GWA2_OP11_43_10 id=3610793 bin=""GWA2_OP11_43_10"" species=GWA2_OP11_43_10 genus=unknown taxon_order=unknown taxon_class=Beckwithbacteria phylum=Microgenomates organism_tax=GWA2_OP11_43_10, Beckwithbacteria, Microgenomates, Bacteria",Beckwithbacteria,IVlike
"gi|1572541151|emb|VDS11202.1| RuBisCO long chain, Form II/III [uncultured Candidatus Pacearchaeota archaeon]",Pacearchaeota,II/III
"gi|1572540977|emb|VDS11115.1| RuBisCO long chain, Form II/III [uncultured DPANN archaeon]",unknown,II/III
"gi|1572539442|emb|VDD88762.1| RuBisCO long chain, Form II/III [uncultured bacterium]",Dojkabacteria,II/III
"gi|1572539428|emb|VDD88751.1| RuBisCO long chain, Form III-c [uncultured bacterium]",Parcubacteria,IIIc
"gi|1572539342|emb|VDD88670.1| RuBisCO long chain, Form III-b [uncultured archaeon]",Micrarchaeota,IIIb
"gi|1572540309|emb|VDD89255.1| RuBisCO long chain, Form III-c [uncultured bacterium]",Parcubacteria,IIIc
"gi|1572540029|emb|VDD89049.1| RuBisCO long chain, Form III-b [uncultured archaeon]",Pacearchaeota,IIIb
"gi|1572539438|emb|VDD88760.1| RuBisCO long chain, Form III-b [uncultured archaeon]",Micrarchaeota,IIIb
"gi|1572539688|emb|VDD88946.1| RuBisCO long chain, Form III-b [uncultured archaeon]",Pacearchaeota,IIIb
"gi|1572540307|emb|VDD89250.1| RuBisCO long chain, Form III-b [uncultured archaeon]",Micrarchaeota,IIIb
"gi|1572539694|emb|VDD88949.1| RuBisCO long chain, Form III-c [uncultured bacterium]",Kuenenbacteria,IIIc
"gi|1572540143|emb|VDD89126.1| RuBisCO long chain, Form III-b [uncultured archaeon]",Micrarchaeota,IIIb
"gi|1572540193|emb|VDD89165.1| RuBisCO long chain, Form III-b [uncultured archaeon]",Pacearchaeota,IIIb
gi|1277807326|gb|PIU21541.1| type III ribulose-bisphosphate carboxylase [Candidatus Diapherotrites archaeon CG08_land_8_20_14_0_20_34_12],Diapherotrites,IIIb
"gi|1572539921|emb|VDD88960.1| RuBisCO long chain, Form III-b [uncultured archaeon]",Pacearchaeota,IIIb
"gi|1572540159|emb|VDD89146.1| RuBisCO long chain, Form III-b [uncultured archaeon]",Pacearchaeota,IIIb
"gi|1572540089|emb|VDD89093.1| RuBisCO long chain, Form III-b [uncultured archaeon]",Micrarchaeota,IIIb
"gi|1572539456|emb|VDD88769.1| RuBisCO long chain, Form III-b [uncultured archaeon]",Micrarchaeota,IIIb
"gi|1561394811|ref|WP_128567054.1| ribulose 1,5-bisphosphate carboxylase [Methanocella paludicola]",reference,IIIa
"gi|1572540091|emb|VDD89094.1| RuBisCO long chain, Form III-b [uncultured archaeon]",Micrarchaeota,IIIb
"gi|1572539566|emb|VDD88858.1| RuBisCO long chain, Form III-b [uncultured archaeon]",Pacearchaeota,IIIb
"gi|499635370|ref|WP_011316104.1| Ribulose bisphosphate carboxylase large chain 2 [Nitrobacter winogradskyi] >gi|115502574|sp|Q3SNG2.1|RBL1B_NITWN RecName: Full=Ribulose bisphosphate carboxylase large chain 2; Short=RuBisCO large subunit 2 >gi|74421980|gb|ABA06179.1| ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit [Nitrobacter winogradskyi Nb-255]",reference,I
"gi|1572539668|emb|VDD88930.1| RuBisCO long chain, Form III-b [uncultured archaeon]",Aenigmarchaeota,IIIb
"gi|1572540033|emb|VDD89051.1| RuBisCO long chain, Form III-like [uncultured archaeon]",Pacearchaeota,IIIlike
"gi|1572539658|emb|VDD88921.1| RuBisCO long chain, Form III-b [uncultured archaeon]",Pacearchaeota,IIIb
"gi|1572539634|emb|VDD88903.1| RuBisCO long chain, Form III-b [uncultured archaeon]",Aenigmarchaeota,IIIb
"gi|1572540151|emb|VDD89130.1| RuBisCO long chain, Form III-b [uncultured archaeon]",Micrarchaeota,IIIb
"gi|1572539356|emb|VDD88684.1| RuBisCO long chain, Form III-b [uncultured archaeon]",Pacearchaeota,IIIb
"gi|1572540037|emb|VDD89053.1| RuBisCO long chain, Form III-like [uncultured bacterium]",Gottesmanbacteria,IIIlike
"gi|1572540969|emb|VDS11111.1| RuBisCO long chain, Form III-b [uncultured Candidatus Pacearchaeota archaeon]",Pacearchaeota,IIIb
"gi|1572540121|emb|VDD89112.1| RuBisCO long chain, Form III-b [uncultured archaeon]",Pacearchaeota,IIIb
"gi|1572540257|emb|VDD89216.1| RuBisCO long chain, Form III-c [uncultured bacterium]",Gottesmanbacteria,IIIc
"gi|1572540237|emb|VDD89199.1| RuBisCO long chain, Form III-b [uncultured archaeon]",Pacearchaeota,IIIb
"gi|735016550|gb|KHO50554.1| ribulose-bisphosphate carboxylase large chain [archaeon GW2011_AR13] >gi|1572540285|emb|VDD89236.1| RuBisCO long chain, Form III-b [uncultured archaeon]",Pacearchaeota,IIIb
"gi|1572540059|emb|VDD89074.1| RuBisCO long chain, Form III-b [uncultured archaeon]",Pacearchaeota,IIIb
"gi|1572539560|emb|VDD88855.1| RuBisCO long chain, Form III-b [uncultured bacterium]",Amesbacteria,IIIb
"gi|1572540005|emb|VDD89031.1| RuBisCO long chain, Form III-b [uncultured archaeon]",Pacearchaeota,IIIb
"gi|1572539670|emb|VDD88933.1| RuBisCO long chain, Form III-like [uncultured archaeon]",Pacearchaeota,IIIlike
"gi|1572540019|emb|VDD89038.1| RuBisCO long chain, Form III-like [uncultured archaeon]",Pacearchaeota,IIIlike
"gi|1572539562|emb|VDD88856.1| RuBisCO long chain, Form III-b [uncultured archaeon]",Pacearchaeota,IIIb
"gi|1572539364|emb|VDD88696.1| RuBisCO long chain, Form III-like [uncultured bacterium]",Gottesmanbacteria,IIIlike
"gi|225045473|gb|EEG55719.1| ribulose bisphosphate carboxylase large chain, catalytic domain protein [[Clostridium asparagiforme] DSM 15981]",reference,IV
"gi|1572540259|emb|VDD89217.1| RuBisCO long chain, Form III-b [uncultured archaeon]",Micrarchaeota,IIIb
"gi|1572541063|emb|VDS11158.1| RuBisCO long chain, Form IV [uncultured Candidatus Micrarchaeota archaeon]",Micrarchaeota,IV
"gi|1572539538|emb|VDD88834.1| RuBisCO long chain, Form IV [uncultured bacterium]",Parcubacteria,IV
"TARA_037.SAMEA2619974.600.0.1-0.22_1115_42 /annotation=Ribulose bisphosphate carboxylase, type III /ngenes=50",Pacearchaeota,IIIb
TARA_039.SAMEA2620106.270.0.1-0.22_2150_20 /annotation=rbcL; ribulose bisophosphate carboxylase (EC:4.1.1.39) /domain=Archaea /phylum=Pacearchaeota,Pacearchaeota,IIIb
gi|502433156|ref|WP_012784207.1| form I ribulose bisphosphate carboxylase large subunit [Acidimicrobium ferrooxidans] >gi|256007521|gb|ACU53088.1| Ribulose-bisphosphate carboxylase [Acidimicrobium ferrooxidans DSM 10331],reference,I
"gi|30749269|pdb|1IWA|A Chain A, Rubisco From Galdieria Partita >gi|30749271|pdb|1IWA|C Chain C, Rubisco From Galdieria Partita >gi|30749273|pdb|1IWA|E Chain E, Rubisco From Galdieria Partita >gi|30749275|pdb|1IWA|G Chain G, Rubisco From Galdieria Partita >gi|30749277|pdb|1IWA|I Chain I, Rubisco From Galdieria Partita >gi|30749279|pdb|1IWA|K Chain K, Rubisco From Galdieria Partita >gi|30749281|pdb|1IWA|M Chain M, Rubisco From Galdieria Partita >gi|30749283|pdb|1IWA|O Chain O, Rubisco From Galdieria Partita >gi|4519903|dbj|BAA75796.1| ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit [Galdieria partita]",reference,I
"gi|1384872478|gb|AWF83650.1| ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (chloroplast) [Isoetes flaccida var. chapmanii] >gi|1390158882|gb|AWK91834.1| ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (chloroplast) [Isoetes melanopoda subsp. melanopoda]",reference,I
"gi|11467508|ref|NP_043654.1| ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (chloroplast) [Trieres chinensis] >gi|1352796|sp|P49520.1|RBL_ODOSI RecName: Full=Ribulose bisphosphate carboxylase large chain; Short=RuBisCO large subunit >gi|1185203|emb|CAA91686.1| Rubisco, large subunit [Trieres chinensis]",reference,I
"gi|1101743|dbj|BAA04861.1| ribulose-1,5-biphosphate carboxylase/oxygenase [Prochlorococcus marinus]",reference,I
RBC2_36 gi|497537089|ref|WP_009851287.1|,reference,II
RBC2_41 gi|499704342|ref|WP_011385076.1|,reference,II
RBCSeed_15 gi|503485760|ref|WP_013720421.1|,reference,II/III
RBC_29 gi|516847257|ref|WP_018128943.1|,reference,IIIb
gi|495596802|ref|WP_008321381.1| type III ribulose-bisphosphate carboxylase [Haloferax mucosum] >gi|445740100|gb|ELZ91606.1| ribulose bisophosphate carboxylase [Haloferax mucosum ATCC BAA-1512],reference,IIIb
"gi|500076877|ref|WP_011752890.1| type III ribulose-bisphosphate carboxylase [Thermofilum pendens] >gi|119525253|gb|ABL78625.1| ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit [Thermofilum pendens Hrk 5]",reference,IIIb
RBC_37 gwa2_scaffold_134_63,Microgenomates,IIIlike
RBC4_73 gwe2_scaffold_1773_6,Peregrinibacteria,II/III
"cg1_0.2_scaffold_115_c_6 ribulose bisphosphate carboxylase, type III (EC:4.1.1.39); K01601 ribulose-bisphosphate carboxylase large chain [EC:4.1.1.39] Tax=CG_Pacearch_04 id=92070905 bin=""CG1_02_FULL_Pacearchaeota_31_27_curated"" species=CG_Pacearch_04 genus=unknown taxon_order=unknown taxon_class=unknown phylum=Pacearchaeota organism_tax=CG_Pacearch_04, Pacearchaeota, Archaea",Pacearchaeota,IIIb
"cg1_0.2_scaffold_4554_c_7 rbcL; ribulose bisophosphate carboxylase (EC:4.1.1.39); K01601 ribulose-bisphosphate carboxylase large chain [EC:4.1.1.39] Tax=CG_Pacearch_06 id=91909415 bin=""CG1_02_FULL_novel_Archaea_34_218_curated"" species=CG_Pacearch_06 genus=unknown taxon_order=unknown taxon_class=unknown phylum=Pacearchaeota organism_tax=CG_Pacearch_06, Pacearchaeota, Archaea",Pacearchaeota,IIIb
"cg1_0.2_scaffold_7288_c_2 rbcL; ribulose bisophosphate carboxylase (EC:4.1.1.39); K01601 ribulose-bisphosphate carboxylase large chain [EC:4.1.1.39] Tax=CG_Micra_01 id=91821780 bin=""CG1_02_FULL_Micrarchaeota_49_24_curated"" species=CG_Micra_01 genus=unknown taxon_order=unknown taxon_class=unknown phylum=Micraarchaeota organism_tax=CG_Micra_01, Micraarchaeota, Archaea",Micrarchaeota,IIIb
"gi|1572539554|emb|VDD88846.1| RuBisCO long chain, Form II/III [uncultured bacterium]",Peregrinibacteria,II/III
"gi|1572541027|emb|VDS11140.1| RuBisCO long chain, Form II/III [uncultured DPANN archaeon] >gi|1572541091|emb|VDS11172.1| RuBisCO long chain, Form II/III [uncultured Candidatus Woesearchaeota archaeon] >gi|1572541105|emb|VDS11179.1| RuBisCO long chain, Form II/III [uncultured Candidatus Woesearchaeota archaeon]",Woesearchaeota,II/III
"gi|1308750508|gb|PKN02430.1| ribulose 1,5-bisphosphate carboxylase [Candidatus Dojkabacteria bacterium HGW-Dojkabacteria-1]",Dojkabacteria,II/III
"gi|1572539676|emb|VDD88940.1| RuBisCO long chain, Form III-b [uncultured bacterium]",Amesbacteria,IIIb
"gi|1572539448|emb|VDD88765.1| RuBisCO long chain, Form unknown [uncultured bacterium]",Gottesmanbacteria,unknown
gi|1276406858|gb|PIN77236.1| type III ribulose-bisphosphate carboxylase [Candidatus Woesearchaeota archaeon CG10_big_fil_rev_8_21_14_0_10_34_12],Woesearchaeota,IIIb
"gi|1572539512|emb|VDD88812.1| RuBisCO long chain, Form III-b [uncultured archaeon]",Micrarchaeota,IIIb
"gi|1572539516|emb|VDD88814.1| RuBisCO long chain, Form unknown [uncultured archaeon]",Micrarchaeota,unknown
"gi|1572539588|emb|VDD88873.1| RuBisCO long chain, Form III-b [uncultured bacterium]",Amesbacteria,IIIb
"gi|1572539418|emb|VDD88745.1| RuBisCO long chain, Form III-b [uncultured archaeon]",Pacearchaeota,IIIb
gi|1572541087|emb|VDS11170.1| RuBisCO long chain [uncultured Aenigmarchaeota archaeon],Aenigmarchaeota,unknown
"gi|1572540009|emb|VDD89033.1| RuBisCO long chain, Form III-c [uncultured bacterium]",Kuenenbacteria,IIIc
"gi|1572539959|emb|VDD88991.1| RuBisCO long chain, Form III-b [uncultured archaeon]",Pacearchaeota,IIIb
"gi|1572540063|emb|VDD89076.1| RuBisCO long chain, Form III-b [uncultured archaeon]",Micrarchaeota,IIIb
"gi|1278357258|gb|PIY97215.1| ribulose-bisphosphate carboxylase large subunit [Candidatus Kerfeldbacteria bacterium CG_4_10_14_0_8_um_filter_42_10] >gi|1572539622|emb|VDD88894.1| RuBisCO long chain, Form III-c [uncultured bacterium]",Parcubacteria,IIIc
"gi|1572539540|emb|VDD88835.1| RuBisCO long chain, Form III-c [uncultured bacterium]",Falkowbacteria,IIIc
"gi|1572539494|emb|VDD88792.1| RuBisCO long chain, Form III-b [uncultured archaeon]",Micrarchaeota,IIIb
"gi|1572539396|emb|VDD88723.1| RuBisCO long chain, Form III-b [uncultured archaeon]",Pacearchaeota,IIIb
"gi|1572539927|emb|VDD88963.1| RuBisCO long chain, Form III-b [uncultured archaeon]",Pacearchaeota,IIIb
"gi|1572540083|emb|VDD89090.1| RuBisCO long chain, Form III-b [uncultured archaeon]",Micrarchaeota,IIIb
"gi|1572541081|emb|VDS11167.1| RuBisCO long chain, Form III-b [uncultured Candidatus Micrarchaeota archaeon] >gi|1572541113|emb|VDS11183.1| RuBisCO long chain, Form III-b [uncultured Candidatus Micrarchaeota archaeon]",Micrarchaeota,IIIb
"gi|1572541147|emb|VDS11200.1| RuBisCO long chain, Form III-b [uncultured DPANN archaeon]",unknown,IIIb
"gi|1572540003|emb|VDD89030.1| RuBisCO long chain, Form III-b [uncultured archaeon]",Micrarchaeota,IIIb
"gi|1572539412|emb|VDD88742.1| RuBisCO long chain, Form III-b [uncultured archaeon]",Pacearchaeota,IIIb
"gi|1572539600|emb|VDD88879.1| RuBisCO long chain, Form III-b [uncultured archaeon]",Pacearchaeota,IIIb
"gi|1572539919|emb|VDD88956.1| RuBisCO long chain, Form III-b [uncultured archaeon]",Micrarchaeota,IIIb
"gi|1572539432|emb|VDD88753.1| RuBisCO long chain, Form III-b [uncultured archaeon]",Micrarchaeota,IIIb
"gi|1572539416|emb|VDD88744.1| RuBisCO long chain, Form III-b [uncultured archaeon]",Pacearchaeota,IIIb
"gi|1572539652|emb|VDD88917.1| RuBisCO long chain, Form III-b [uncultured archaeon]",Pacearchaeota,IIIb
"gi|737032401|ref|WP_035027759.1| MULTISPECIES: form I ribulose bisphosphate carboxylase large subunit [Devosia] >gi|630005503|emb|CDP50020.1| Ribulose bisphosphate carboxylase large chain [Devosia sp. DBB001] >gi|674763090|gb|KFL28240.1| ribulose 1,5-bisphosphate carboxylase [Devosia sp. 17-2-E-8]",reference,I
"gi|492948739|ref|WP_006056824.1| type III ribulose-bisphosphate carboxylase [Halogeometricum borinquense] >gi|312293261|gb|ADQ67721.1| ribulose 1,5-bisphosphate carboxylase large subunit [Halogeometricum borinquense DSM 11551] >gi|445569023|gb|ELY23598.1| ribulose bisophosphate carboxylase [Halogeometricum borinquense DSM 11551] >gi|1569093252|gb|RYJ14855.1| type III ribulose-bisphosphate carboxylase [Halogeometricum borinquense]",reference,IIIb
"gi|735021595|gb|KHO55404.1| ribulose-bisphosphate carboxylase large chain [archaeon GW2011_AR19] >gi|1572539590|emb|VDD88874.1| RuBisCO long chain, Form III-like [uncultured archaeon]",Pacearchaeota,IIIlike
"gi|1572539496|emb|VDD88793.1| RuBisCO long chain, Form III-like [uncultured bacterium]",Gottesmanbacteria,IIIlike
"gi|1572540249|emb|VDD89207.1| RuBisCO long chain, Form III-b [uncultured archaeon]",Woesearchaeota,IIIb
"gi|1572539458|emb|VDD88770.1| RuBisCO long chain, Form III-b [uncultured archaeon]",Pacearchaeota,IIIb
"gi|1572540291|emb|VDD89242.1| RuBisCO long chain, Form III-b [uncultured archaeon]",Pacearchaeota,IIIb
"gi|1572539484|emb|VDD88787.1| RuBisCO long chain, Form III-b [uncultured archaeon]",Pacearchaeota,IIIb
"gi|499216959|ref|WP_010914499.1| MULTISPECIES: ribulose-bisphosphate carboxylase [Mesorhizobium] >gi|14026595|dbj|BAB53192.1| ribulose bisphosphate carboxylase, large subunit [Mesorhizobium japonicum MAFF 303099] >gi|1511908248|gb|RNJ44935.1| ribulose 1,5-bisphosphate carboxylase [Mesorhizobium japonicum] >gi|1565101965|gb|RXT51739.1| ribulose 1,5-bisphosphate carboxylase [Mesorhizobium erdmanii]",reference,IV
"gi|1572540225|emb|VDD89186.1| RuBisCO long chain, Form III-b [uncultured archaeon]",Pacearchaeota,IIIb
"gi|497494967|ref|WP_009809165.1| ribulose-bisphosphate carboxylase [Roseobacter sp. MED193] >gi|85825425|gb|EAQ45624.1| putative ribulose bisphosphate carboxylaseoxygenase,large subunit [Roseobacter sp. MED193]",reference,IV
"gi|1572539542|emb|VDD88836.1| RuBisCO long chain, Form III-like [uncultured bacterium]",Gottesmanbacteria,IIIlike
"gi|1572539666|emb|VDD88925.1| RuBisCO long chain, Form III-like [uncultured bacterium]",Dojkabacteria,IIIlike
"gi|1572539488|emb|VDD88789.1| RuBisCO long chain, Form III-like [uncultured bacterium]",Dojkabacteria,IIIlike
"gi|1572539564|emb|VDD88857.1| RuBisCO long chain, Form III-like [uncultured bacterium]",Dojkabacteria,IIIlike
"gi|1572539372|emb|VDD88705.1| RuBisCO long chain, Form IV [uncultured bacterium]",Parcubacteria,IV
"gi|1572539384|emb|VDD88717.1| RuBisCO long chain, Form III-like [uncultured bacterium]",Dojkabacteria,IIIlike
"gi|1572540131|emb|VDD89117.1| RuBisCO long chain, Form IV-like [uncultured bacterium]",Beckwithbacteria,IVlike
"gi|1572541021|emb|VDS11137.1| RuBisCO long chain, Form III-b [uncultured DPANN archaeon] >gi|1572541043|emb|VDS11148.1| RuBisCO long chain, Form III-b [uncultured Candidatus Woesearchaeota archaeon]",unknown,IIIb
gi|111075030|gb|ABH04879.1| RubisCO-like protein [Heliobacillus mobilis],reference,IV
"gi|3183144|sp|Q51856.1|RBL_HYDTE RecName: Full=Ribulose bisphosphate carboxylase large chain; Short=RuBisCO large subunit >gi|505126|dbj|BAA06437.1| ribulose-1,5-bisphosphate carboxylase oxygenase large subunit [Hydrogenophilus thermoluteolus]",reference,I
"gi|731517219|gb|AIZ66137.1| ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit [synthetic construct]",reference,I
